,Title,Address,Area,Bedrooms,Bathrooms,Garage Cars,Rent,Condominium
7797,Apartamento com 3 Quartos à Venda/Aluguel 101m²,"Rua Cubatão - Vila Mariana, São Paulo - SP",101 m²,3 Quartos,3 Banheiros,-- Vaga,R$ 3.500 /mês,R$ 1.133
7798,"Apartamento com Quarto para Aluguel, 50m²","Santa Ifigênia, São Paulo - SP",50 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.700 /mês,R$ 400
7799,"Apartamento com 4 Quartos para Aluguel, 160m²","Pinheiros, São Paulo - SP",160 m²,4 Quartos,4 Banheiros,3 Vagas,R$ 10.000 /mês,R$ 957
7800,"Apartamento com 3 Quartos para Aluguel, 99m²","Vila Gomes Cardim, São Paulo - SP",99 m²,3 Quartos,3 Banheiros,2 Vagas,R$ 6.000 /mês,R$ 900
7801,"Apartamento com 2 Quartos para Aluguel, 73m²","Rua Carlos Weber, 1389 - Vila Leopoldina, São Paulo - SP",73 m²,2 Quartos,3 Banheiros,2 Vagas,R$ 2.700 /mês,R$ 885
7802,Apartamento com Quarto para Venda/Aluguel 37m²,"Rua Turiassu - Perdizes, São Paulo - SP",37 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 3.880 /mês,R$ 690
7803,"Apartamento com Quarto para Aluguel, 67m²","Rua Gomes de Carvalho - Vila Olímpia, São Paulo - SP",67 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 5.500 /mês,R$ 1.200
7804,"Apartamento com 2 Quartos para Aluguel, 90m²","Avenida Rudge - Bom Retiro, São Paulo - SP",90 m²,2 Quartos,2 Banheiros,-- Vaga,R$ 1.550 /mês,R$ 250
7805,Apartamento com 4 Quartos para Venda/Aluguel 370m²,"Rua Atibaia - Pacaembu, São Paulo - SP",370 m²,4 Quartos,4 Banheiros,4 Vagas,R$ 20.000 /mês,R$ 5.400
7806,"Apartamento com 2 Quartos para Aluguel, 68m²","Vila Leopoldina, São Paulo - SP",68 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.000 /mês,R$ 880
7807,"Apartamento com 2 Quartos para Aluguel, 50m²","Vila Ema, São Paulo - SP",50 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.300 /mês,R$ 400
7808,"Apartamento com 3 Quartos para Aluguel, 110m²","Rua Hungara, 113 - Vila Ipojuca, São Paulo - SP",110 m²,3 Quartos,3 Banheiros,2 Vagas,R$ 2.700 /mês,R$ 1.200
7809,"Apartamento com 2 Quartos para Aluguel, 40m²","Rua Domingos de Morais - Vila Mariana, São Paulo - SP",40 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 1.800 /mês,R$ 130
7810,"Apartamento com 2 Quartos para Aluguel, 50m²","Rua Heitor Peixoto - Cambuci, São Paulo - SP",50 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 1.500 /mês,R$ 585
7811,Apartamento com 2 Quartos para Venda/Aluguel 32m²,"Rua Antônio Gomes Ferreira, 89 - Sacomã, São Paulo - SP",32 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 1.200 /mês,R$ 190
7812,"Apartamento com 5 Quartos para Aluguel, 468m²","Rua Canário, 80 - Moema, São Paulo - SP",468 m²,5 Quartos,6 Banheiros,6 Vagas,R$ 75.000 /mês,R$ 8.400
7813,Apartamento com 2 Quartos para Venda/Aluguel 55m²,"Rua Alvorada, 81 - Vila Olímpia, São Paulo - SP",55 m²,2 Quartos,2 Banheiros,2 Vagas,R$ 3.430 /mês,R$ 990
7814,"Apartamento com 2 Quartos para Aluguel, 65m²","Rua das Perobas, 173 - Jabaquara, São Paulo - SP",65 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 1.750 /mês,R$ 730
7815,Apartamento com 4 Quartos para Venda/Aluguel 205m²,"Rua Pensilvânia - Cidade Monções, São Paulo - SP",205 m²,4 Quartos,5 Banheiros,3 Vagas,R$ 10.000 /mês,R$ 2.200
7816,Apartamento com 3 Quartos para Venda/Aluguel 154m²,"Avenida Jamaris, 571 - Moema, São Paulo - SP",154 m²,3 Quartos,2 Banheiros,2 Vagas,R$ 5.500 /mês,R$ 1.862
7817,"Apartamento com Quarto para Aluguel, 42m²","Alameda dos Nhambiquaras, 843 - Moema, São Paulo - SP",42 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.300 /mês,R$ 880
7818,"Apartamento com 3 Quartos para Aluguel, 94m²","Rua Helena, 151 - Vila Olímpia, São Paulo - SP",94 m²,3 Quartos,3 Banheiros,2 Vagas,R$ 7.500 /mês,R$ 1.171
7819,"Apartamento com 2 Quartos para Aluguel, 50m²","Vila Leopoldina, São Paulo - SP",50 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 2.300 /mês,R$ 530
7820,"Apartamento com Quarto para Aluguel, 40m²","Avenida Cidade Jardim, 411 - Itaim Bibi, São Paulo - SP",40 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.050 /mês,R$ 1.860
7821,"Apartamento com Quarto para Aluguel, 24m²","Rua Gravataí, 118 - Consolação, São Paulo - SP",24 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 2.500 /mês,R$ 260
7822,"Apartamento com 3 Quartos para Aluguel, 87m²","Brooklin, São Paulo - SP",87 m²,3 Quartos,2 Banheiros,-- Vaga,R$ 3.100 /mês,R$ 611
7823,"Apartamento com Quarto para Aluguel, 35m²","Rua General Chagas Santos, 253 - Saúde, São Paulo - SP",35 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.800 /mês,R$ 590
7824,Apartamento com 3 Quartos para Venda/Aluguel 125m²,"Móoca, São Paulo - SP",125 m²,3 Quartos,2 Banheiros,2 Vagas,R$ 2.800 /mês,R$ 1.080
7825,"Apartamento com Quarto para Aluguel, 37m²","Rua Luís Correia de Melo - Vila Cruzeiro, São Paulo - SP",37 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.350 /mês,R$ 512
7826,"Apartamento com 4 Quartos para Aluguel, 200m²","Rua Canário - Moema, São Paulo - SP",200 m²,4 Quartos,3 Banheiros,3 Vagas,R$ 14.000 /mês,R$ 3.963
7827,"Apartamento com 2 Quartos para Aluguel, 70m²","Cidade São Francisco, São Paulo - SP",70 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.600 /mês,R$ 650
7828,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Anhangüera, 289 - Barra Funda, São Paulo - SP",70 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 1.400 /mês,R$ 160
7829,"Apartamento com Quarto para Aluguel, 31m²","Avenida Jandira, 501 - Moema, São Paulo - SP",31 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.260 /mês,R$ 1.700
7830,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Manuel Leiroz - Penha, São Paulo - SP",60 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 420
7831,"Apartamento com 2 Quartos para Aluguel, 50m²","Avenida São Miguel, 1469 - Vila Buenos Aires, São Paulo - SP",50 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.000 /mês,R$ 500
7832,Apartamento com 2 Quartos para Venda/Aluguel 74m²,"Vila Olímpia, São Paulo - SP",74 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 2.500 /mês,R$ 786
7833,"Apartamento com Quarto para Aluguel, 28m²","Rua Humaitá, 001 - Bela Vista, São Paulo - SP",28 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.100 /mês,R$ 357
7834,"Apartamento com Quarto para Aluguel, 31m²","Praça Cassiano Nogueira, 28 - Vila Mariana, São Paulo - SP",31 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.420 /mês,R$ 528
7835,"Apartamento com 2 Quartos para Aluguel, 53m²","Rua Doutor Edgar Garcia Vieira - Vila Matilde, São Paulo - SP",53 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 1.400 /mês,R$ 253
7836,Apartamento com Quarto para Venda/Aluguel 40m²,"Bela Vista, São Paulo - SP",40 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.900 /mês,R$ 0
7837,"Apartamento com Quarto para Aluguel, 52m²","Rua Peixoto Gomide, 596 - Jardim Paulista, São Paulo - SP",52 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 3.500 /mês,R$ 467
7838,"Apartamento com 2 Quartos para Aluguel, 64m²","Vila Matilde, São Paulo - SP",64 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 1.700 /mês,R$ 700
7839,"Apartamento com 3 Quartos para Aluguel, 126m²","Rua Helena, 151 - Vila Olímpia, São Paulo - SP",126 m²,3 Quartos,5 Banheiros,2 Vagas,R$ 9.000 /mês,R$ 1.500
7840,"Apartamento com 3 Quartos para Aluguel, 100m²","Avenida Jabaquara - Mirandópolis, São Paulo - SP",100 m²,3 Quartos,1 Banheiro,-- Vaga,R$ 1.800 /mês,R$ 0
7841,"Apartamento com 3 Quartos para Aluguel, 134m²","Alameda Campinas - Jardim Paulista, São Paulo - SP",134 m²,3 Quartos,3 Banheiros,1 Vaga,R$ 6.000 /mês,R$ 1.100
