,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Condominium Fee (R$),Rent (R$)
466,12,25,1,1,0,276,1800
467,21,65,1,2,2,940,4900
468,13,122,2,3,1,1100,3500
469,36,90,2,1,1,730,1300
470,24,54,2,1,1,630,3000
471,29,69,3,2,1,450,1450
472,29,130,3,4,2,1300,3900
473,3,70,2,2,1,950,1800
474,26,46,1,2,1,600,2750
475,29,57,2,2,2,511,2350
476,2,139,3,5,2,1350,8500
477,26,74,2,2,1,1250,4350
478,2,84,2,3,2,1300,6300
479,29,82,3,2,2,580,3000
480,29,60,2,2,1,620,2300
481,29,48,2,1,0,425,1400
482,16,130,3,3,1,964,4500
483,32,44,1,1,1,600,3800
484,0,42,1,1,0,301,1449
485,38,61,2,2,2,730,2100
486,3,48,1,1,1,800,3500
487,29,40,1,1,1,560,3400
488,48,86,3,3,2,828,3500
489,23,70,2,2,2,500,2800
490,16,98,2,4,1,1584,5200
491,3,57,2,2,2,1040,2800
492,29,54,2,1,1,220,1000
493,2,112,3,3,2,1014,6000
494,27,47,1,1,0,420,1199
495,49,75,3,3,2,1200,3000
496,27,58,2,2,1,600,1500
497,39,50,1,1,1,391,2350
498,32,70,1,2,1,634,1850
499,34,36,1,1,1,440,2200
500,29,31,1,1,0,0,1200
501,26,60,1,2,1,842,4300
502,29,142,3,4,2,1150,6000
503,26,45,1,1,1,765,2100
504,16,47,1,1,1,720,2500
505,2,45,1,1,1,0,2000
506,29,110,4,4,2,1280,5400
507,31,60,2,1,0,200,2500
508,29,57,2,1,2,655,2300
509,35,65,2,1,1,800,2800
510,29,67,2,2,1,790,3200
511,29,40,2,1,0,150,1100
512,3,45,1,1,1,586,3200
513,11,38,1,1,1,550,2800
514,43,65,3,2,1,610,1650
515,2,28,1,1,0,374,1100
516,43,42,1,1,1,0,2000
517,44,79,2,2,2,789,3600
518,29,31,1,1,1,450,1900
519,29,68,2,2,1,800,2500
520,27,181,3,2,2,664,3800
521,35,58,1,1,0,442,1200
522,29,70,3,2,2,425,2200
523,1,53,2,2,1,550,2900
524,35,50,2,1,1,502,1900
525,44,172,3,4,3,1520,6200
526,42,45,1,1,1,645,2700
527,31,45,1,1,1,602,2200
528,49,64,2,2,1,800,5200
529,29,38,1,1,1,325,1520
530,40,56,2,2,1,285,2400
531,40,40,1,1,0,639,1300
532,27,50,1,1,1,525,1300
533,45,42,1,1,1,830,2200
534,29,28,1,1,1,568,1800
535,48,80,3,3,2,1467,3500
536,29,40,1,1,1,586,3300
537,32,65,2,2,1,830,4590
538,32,60,1,2,0,421,2200
539,6,60,2,2,1,790,2700
540,3,62,2,1,1,720,2100
541,46,55,1,1,0,600,1500
542,29,62,2,1,1,615,2600
543,29,60,2,2,1,800,3500
544,2,47,2,1,1,832,3700
545,43,74,3,2,2,562,3500
546,29,126,2,4,2,920,7300
547,50,85,2,2,1,0,1800
548,49,30,1,1,1,1400,900
549,24,62,1,1,0,375,1190
550,31,30,1,1,1,570,1980
551,26,80,2,3,1,935,4000
552,38,40,1,1,1,1300,1200
553,21,50,1,2,1,950,2655
554,29,58,2,1,1,450,1250
555,2,104,3,3,0,955,2200
556,33,73,3,2,1,853,2700
557,0,39,1,1,1,530,2260
558,31,98,3,3,1,899,3400
559,29,82,3,2,2,800,2400
560,29,69,2,2,1,474,3500
561,29,64,2,3,1,884,2000
562,29,120,2,4,2,1544,2700
563,7,60,2,2,1,591,2300
564,46,60,2,1,1,978,2200
565,6,39,1,1,1,530,2260
566,21,58,2,1,0,116,2000
567,29,238,4,6,4,1535,9000
568,2,70,2,1,0,400,2600
569,3,87,2,2,1,644,3200
570,15,140,3,2,2,997,6000
571,9,30,1,1,0,451,1390
572,30,40,1,1,1,653,2200
573,29,48,2,1,1,270,1600
574,29,96,3,3,2,900,3400
575,49,43,1,1,1,600,3100
576,0,50,2,2,0,0,1350
577,45,72,2,2,1,797,2840
578,7,35,1,1,1,0,3450
579,29,70,3,2,1,530,2500
580,29,120,3,2,0,859,1300
581,29,34,1,1,1,523,2500
582,12,42,1,1,1,800,3050
583,15,39,1,1,1,420,1800
584,16,70,2,2,1,1700,3490
585,29,71,3,2,2,945,2400
586,4,36,1,1,0,227,1000
587,18,65,3,2,1,587,1750
588,19,90,2,2,1,1185,3600
589,32,42,1,1,1,656,2300
590,3,52,1,2,1,1052,2200
591,29,55,2,1,1,483,1350
592,29,79,3,2,1,710,1900
593,43,58,2,2,1,688,1700
594,27,67,3,2,1,450,2000
595,29,100,3,3,2,890,3200
596,26,157,4,5,3,1550,9000
597,29,49,2,1,1,430,1500
598,40,70,3,2,3,930,1900
599,29,49,2,1,0,480,1400
600,31,65,2,3,2,1175,3000
601,39,74,2,2,2,1040,3300
602,30,77,2,2,1,1000,7000
603,31,100,3,2,1,790,2500
604,26,35,1,1,1,700,3000
605,29,61,2,1,1,400,1300
606,12,42,1,2,1,603,2300
607,49,55,2,2,1,1149,2500
608,5,32,1,1,1,530,2800
609,21,50,1,2,0,130,1800
610,29,55,2,1,1,570,1850
611,29,75,2,1,0,160,1800
612,16,80,3,2,1,1030,3250
613,29,78,2,1,1,0,1680
614,29,15,2,1,0,110,1520
615,29,40,2,1,1,400,2300
616,29,48,2,1,1,0,1200
617,6,26,1,1,0,150,1350
618,29,56,2,2,1,590,1950
619,29,55,2,2,1,388,1500
620,32,46,1,1,1,1300,2000
621,15,85,2,1,2,791,3800
622,46,100,3,4,3,1406,3400
623,3,78,2,2,1,840,2600
624,3,36,1,1,1,0,3200
625,2,39,1,1,1,428,2800
626,32,67,2,2,1,781,2400
627,2,54,2,1,1,936,3400
628,29,78,3,3,2,1380,2800
629,32,108,3,2,1,1138,2340
630,27,78,2,1,1,787,1640
631,29,81,2,2,2,727,2300
632,26,50,1,2,1,486,2250
633,43,53,1,1,1,619,2500
634,26,75,2,3,1,1000,3900
635,35,60,2,1,1,828,2000
636,29,100,2,1,1,0,1900
637,26,27,1,1,0,314,2200
638,35,70,2,1,1,616,2300
639,38,55,2,2,1,954,1665
640,32,110,3,1,0,120,4000
641,2,50,1,1,0,579,1600
642,10,100,2,2,2,952,3800
643,32,53,1,2,1,920,2900
644,29,60,2,2,1,1011,1700
645,39,57,2,1,1,432,2300
646,3,113,3,4,2,1428,5200
647,32,45,2,1,1,750,2600
648,29,63,2,1,1,630,1900
649,42,40,1,1,1,514,2300
650,29,68,3,1,1,431,1500
651,31,50,1,1,1,680,1900
652,48,35,1,1,0,400,2300
653,32,90,3,3,2,1298,5200
654,43,63,2,2,1,680,2000
655,12,65,1,2,0,407,1500
656,29,42,2,1,0,180,1400
657,17,42,1,1,2,347,1200
658,29,55,2,2,1,464,1200
659,29,75,2,1,0,625,1800
660,29,105,2,3,2,1600,3100
661,29,66,2,2,1,650,2257
662,29,55,3,1,1,0,1500
663,29,50,2,1,1,320,1150
664,16,83,2,1,1,1100,3500
665,29,44,1,1,1,536,1600
666,46,79,2,2,1,1030,1950
667,29,50,2,1,1,400,1200
668,44,53,2,1,1,700,2300
669,29,50,2,1,1,300,800
670,32,58,1,1,1,770,4000
671,46,55,2,2,1,790,3500
672,11,70,1,2,1,712,4300
673,10,76,2,2,1,872,3000
674,46,59,2,2,2,1349,2700
675,40,70,3,2,2,650,2000
676,29,50,2,1,1,315,950
677,32,49,2,1,1,657,2900
678,46,55,2,1,1,770,1500
679,3,38,1,1,1,525,3200
680,1,82,2,2,1,800,4000
681,27,65,3,2,1,485,1960
682,46,55,2,1,1,600,3000
683,39,48,2,1,1,356,1500
684,35,42,1,1,1,590,1800
685,29,49,2,1,1,100,900
686,49,60,1,1,1,1648,4800
687,1,65,1,2,1,510,2600
688,29,38,2,1,1,300,2100
689,37,65,3,2,0,920,2100
690,21,60,2,2,0,886,1800
691,29,55,2,1,1,440,1200
692,29,57,3,1,1,0,2000
693,29,92,1,1,1,1,3200
694,13,33,1,1,1,600,1400
695,46,95,3,2,2,747,3880
696,4,60,2,1,1,490,1300
697,28,105,3,4,2,880,4200
698,29,63,1,1,1,620,4150
699,29,56,2,1,1,100,1200
700,29,62,2,2,1,660,1980
701,40,150,3,4,2,1129,5900
702,21,52,1,1,1,540,3800
703,47,43,2,1,0,200,2100
704,10,70,2,2,1,735,3200
705,3,30,1,1,1,480,2200
706,42,72,2,2,1,938,4000
