,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Rent (R$),Condominium Fee (R$),Total Value (R$),Value per m²
8845,Pinheiros,49,2,1,1,2800,657,3457,70.55102
8846,Outro,222,4,4,4,20000,2600,22600,101.8018
8847,Pinheiros,45,1,1,1,2200,1002,3202,71.155556
8848,Perdizes,105,3,3,1,3500,998,4498,42.838097
8849,Panamby,290,3,5,4,8000,2115,10115,34.87931
8850,Paraíso,201,2,3,0,5000,919,5919,29.447762
8851,Campos Eliseos,65,2,1,0,1500,328,1828,28.123077
8852,Brooklin,36,1,1,1,3200,0,3200,88.888885
8853,Consolação,27,1,1,0,2400,280,2680,99.25926
8854,Jardim Paulista,68,2,2,0,3000,690,3690,54.264706
8855,Vila Buarque,50,1,1,0,1400,572,1972,39.44
8856,Pinheiros,85,3,2,1,3000,800,3800,44.705883
8857,Vila Andrade,49,1,1,1,2000,475,2475,50.510204
8858,Vila Mariana,70,2,1,0,1600,392,1992,28.457144
8859,Santana,205,3,5,2,7000,0,7000,34.146343
8860,Vila Mariana,60,2,2,1,3550,920,4470,74.5
8861,Ipiranga,137,4,2,2,6000,1100,7100,51.824818
8862,Jardim América,40,1,1,0,2200,429,2629,65.725
8863,Outro,60,2,1,0,1600,236,1836,30.6
8864,Itaim Bibi,180,2,3,1,18000,1740,19740,109.666664
8865,Vila Mariana,73,2,1,2,4600,1156,5756,78.84931
8866,Perdizes,127,3,2,2,7500,1331,8831,69.53543
8867,Outro,42,1,1,0,780,0,780,18.571428
8868,Bom Retiro,80,2,2,0,1400,700,2100,26.25
8869,Perdizes,33,1,1,0,2500,426,2926,88.666664
8870,Perdizes,75,2,1,1,1850,975,2825,37.666668
8871,Vila Nova Conceição,134,2,2,2,13500,2400,15900,118.656715
8872,Bom Retiro,137,3,1,1,1900,1200,3100,22.627737
8873,Outro,76,2,1,0,1600,0,1600,21.052631
8874,Aclimação,50,1,1,0,1300,487,1787,35.74
8875,Chácara Santo Antônio,70,2,2,1,3200,750,3950,56.42857
8876,Vila Prudente,69,3,2,1,2300,515,2815,40.7971
8877,Tatuapé,67,2,2,1,3000,476,3476,51.880596
8878,Vila Mariana,190,3,5,3,10000,1900,11900,62.63158
8879,Vila Leopoldina,68,2,1,1,1800,905,2705,39.77941
8880,Higienópolis,180,3,4,2,5000,2137,7137,39.65
8881,Consolação,29,1,1,0,2100,276,2376,81.93104
8882,Ipiranga,60,2,2,1,2200,737,2937,48.95
8883,Moema,60,2,2,1,2900,787,3687,61.45
8884,Vila Olímpia,97,2,3,1,3900,1090,4990,51.4433
8885,Outro,70,2,2,2,2000,680,2680,38.285713
8886,Indianópolis,41,1,1,1,3900,1475,5375,131.09756
8887,Lapa,60,2,2,1,2730,660,3390,56.5
8888,Santana,50,1,1,0,1100,345,1445,28.9
8889,Outro,66,3,1,1,1300,502,1802,27.30303
8890,Moema,156,3,6,3,9000,1585,10585,67.85256
8891,Outro,58,2,1,1,2100,390,2490,42.931034
8892,Saúde,60,2,1,1,1800,750,2550,42.5
8893,Aclimação,23,1,1,0,1080,267,1347,58.565216
8894,Outro,46,2,1,1,1600,1600,3200,69.565216
8895,Vila Nova Conceição,127,3,3,2,9170,1415,10585,83.34646
8896,Bela Vista,33,1,1,0,1700,450,2150,65.15151
8897,Brooklin,93,3,4,2,4500,1320,5820,62.580647
8898,Itaim Bibi,52,1,2,1,6800,800,7600,146.15384
8899,Outro,75,2,2,1,1700,930,2630,35.066666
8900,Consolação,40,1,1,1,2100,450,2550,63.75
8901,Campo Belo,70,2,2,2,1800,939,2739,39.12857
8902,Outro,47,2,1,1,1250,367,1617,34.404255
8903,Outro,22,1,1,0,2100,361,2461,111.86364
8904,Vila Nova Conceição,55,2,1,1,1400,780,2180,39.636364
8905,Cidade Monções,62,1,1,1,3850,913,4763,76.82258
8906,Saúde,66,2,2,1,1900,599,2499,37.863636
8907,Outro,95,3,3,2,2600,1056,3656,38.48421
8908,Vila Nova Conceição,192,4,6,4,30000,2950,32950,171.61458
8909,Pinheiros,50,2,1,1,2600,662,3262,65.24
8910,Jardim Paulista,43,1,1,1,2300,1300,3600,83.72093
8911,Campo Belo,106,3,3,2,4200,1344,5544,52.301888
8912,Bela Vista,39,1,1,1,2800,428,3228,82.76923
8913,Brás,98,2,1,0,1680,0,1680,17.142857
8914,Perdizes,115,3,4,2,3800,1100,4900,42.608696
8915,Perdizes,70,2,2,2,2950,650,3600,51.42857
8916,Vila Mariana,137,3,2,1,4200,1766,5966,43.547443
8917,Vila Uberabinha,167,2,2,2,15000,2400,17400,104.19162
8918,Vila Leopoldina,151,3,5,3,7500,1950,9450,62.582783
8919,Brooklin,51,1,1,1,3300,592,3892,76.31373
8920,Móoca,77,3,2,2,2800,700,3500,45.454544
8921,Outro,75,3,1,1,1950,647,2597,34.626667
8922,Brooklin,112,3,4,2,3800,1251,5051,45.098213
8923,Jardim Paulista,110,3,3,2,5500,1060,6560,59.636364
8924,Pinheiros,42,1,1,1,2300,656,2956,70.38095
8925,Vila Romana,60,2,2,1,3350,583,3933,65.55
8926,Outro,68,2,1,1,1500,880,2380,35.0
8927,Santo Amaro,115,3,3,2,5000,900,5900,51.304348
8928,Outro,47,1,2,1,2300,600,2900,61.70213
8929,Jardim Europa,250,2,2,2,9200,0,9200,36.8
8930,Barra Funda,162,3,4,2,8000,1500,9500,58.641975
8931,Tatuapé,141,4,4,2,2000,1894,3894,27.617022
8932,Bela Vista,40,1,1,1,2550,602,3152,78.8
8933,Morumbi,135,3,4,2,2500,1170,3670,27.185184
8934,Jardim Paulista,75,2,1,1,3050,1100,4150,55.333332
8935,Outro,70,2,2,1,1800,747,2547,36.385715
8936,Butantã,50,2,1,1,1400,450,1850,37.0
8937,Outro,60,2,2,1,1300,500,1800,30.0
8938,Brooklin,37,1,1,1,2000,800,2800,75.675674
8939,Morumbi,110,2,4,2,2800,1300,4100,37.272728
8940,Outro,48,2,1,1,2300,500,2800,58.333332
8941,Jardim América,200,3,3,2,10000,3000,13000,65.0
8942,Vila Uberabinha,45,1,1,1,1900,500,2400,53.333332
8943,Higienópolis,62,2,2,2,4800,747,5547,89.46774
8944,Outro,58,2,1,1,1300,460,1760,30.344828
8945,Vila Carrão,36,2,1,0,1500,120,1620,45.0
8946,Morumbi,320,4,5,5,3000,2971,5971,18.659374
8947,Outro,41,2,1,0,1200,0,1200,29.268293
8948,Freguesia do Ó,50,2,2,1,1800,650,2450,49.0
8949,Jardim Prudência,64,2,2,1,2620,600,3220,50.3125
8950,Vila Madalena,72,2,2,1,4700,950,5650,78.47222
8951,Pinheiros,50,1,2,1,3100,740,3840,76.8
8952,Outro,98,3,4,2,3000,1200,4200,42.857143
8953,Jaguaré,63,2,2,1,2000,440,2440,38.73016
8954,Santana,44,1,1,1,1600,600,2200,50.0
8955,Outro,80,3,2,1,3100,505,3605,45.0625
8956,Higienópolis,93,3,3,1,3600,1100,4700,50.537636
8957,Móoca,58,2,1,1,2000,470,2470,42.58621
8958,Jardim América,79,2,2,1,4000,1050,5050,63.92405
8959,Bela Vista,100,3,2,1,2400,980,3380,33.8
8960,Perdizes,96,3,3,2,3500,1250,4750,49.479168
8961,Jaguaré,80,2,2,2,1450,685,2135,26.6875
8962,Jabaquara,47,2,1,1,1550,645,2195,46.70213
8963,Brás,40,1,1,1,1500,210,1710,42.75
8964,Itaim Bibi,100,2,3,2,11200,2241,13441,134.41
8965,Brooklin,49,1,1,1,3500,900,4400,89.79592
8966,Paraíso,47,1,1,1,1600,660,2260,48.085106
8967,Butantã,72,2,1,1,1800,0,1800,25.0
8968,Campo Belo,45,1,2,1,2800,352,3152,70.04444
8969,Tatuapé,60,2,1,1,2100,450,2550,42.5
8970,Vila Guarani,65,3,2,2,1900,801,2701,41.553844
8971,Outro,32,1,1,0,800,0,800,25.0
8972,Outro,32,1,1,0,1250,100,1350,42.1875
8973,Outro,55,2,1,1,1200,440,1640,29.818182
8974,Paraíso,102,3,2,1,3800,1325,5125,50.2451
8975,Jardim Anália Franco,52,1,1,1,2950,500,3450,66.34615
8976,Jardim Paulista,189,3,4,1,4800,2588,7388,39.089947
8977,Jardim Marajoara,50,2,1,2,1460,490,1950,39.0
8978,Consolação,110,2,2,0,2500,750,3250,29.545454
8979,Panamby,70,1,1,1,2400,994,3394,48.485714
8980,Vila Mariana,68,2,2,0,2000,452,2452,36.058823
8981,Outro,76,3,2,1,3400,550,3950,51.973682
8982,Santana,38,1,1,1,1500,735,2235,58.81579
8983,Barra Funda,90,3,3,1,2600,750,3350,37.22222
8984,Morumbi,50,1,2,1,2700,750,3450,69.0
8985,Vila Andrade,58,2,1,2,1800,670,2470,42.58621
8986,Santa Cecília,78,2,2,0,2100,721,2821,36.166668
8987,Pompeia,155,3,5,3,12000,2130,14130,91.16129
8988,Santo Amaro,65,2,2,2,3200,1060,4260,65.53846
8989,Moema,55,2,2,2,2750,810,3560,64.72727
8990,Sumaré,65,3,1,6,2200,738,2938,45.2
8991,Bela Vista,76,2,1,1,3300,860,4160,54.736843
8992,Vila Santa Catarina,80,3,2,1,1500,747,2247,28.0875
8993,Outro,32,1,1,0,1150,150,1300,40.625
8994,Perdizes,84,3,2,1,2800,972,3772,44.904762
8995,Jardim Prudência,80,2,2,2,4500,975,5475,68.4375
8996,Consolação,65,1,1,1,1350,1013,2363,36.353848
8997,Cerqueira César,29,1,1,1,2000,1051,3051,105.206894
8998,Cidade Monções,75,2,2,2,5800,1200,7000,93.333336
8999,Indianópolis,75,2,3,1,3800,1160,4960,66.13333
9000,Outro,55,2,1,1,1360,540,1900,34.545456
9001,Moema,240,4,7,2,13000,3941,16941,70.5875
9002,Brooklin,180,3,3,3,9000,1500,10500,58.333332
9003,Brooklin,68,2,2,1,5000,900,5900,86.76471
9004,Outro,86,3,3,2,3000,760,3760,43.720932
9005,Vila Mariana,90,2,2,1,2500,844,3344,37.155556
9006,Liberdade,54,2,1,1,3000,630,3630,67.22222
9007,Vila Carrão,84,2,2,2,3600,600,4200,50.0
9008,Vila Buarque,120,2,1,1,3000,840,3840,32.0
9009,Vila Leopoldina,70,2,2,1,2300,750,3050,43.57143
9010,Vila Mascote,83,2,2,2,4500,699,5199,62.638554
9011,Morumbi,60,1,1,1,1900,1172,3072,51.2
9012,Vila Mariana,84,2,2,1,2650,521,3171,37.75
9013,Morumbi,50,1,1,1,1650,322,1972,39.44
9014,Cambuci,100,3,3,1,1950,980,2930,29.3
9015,Outro,73,2,1,1,1200,600,1800,24.657534
9016,Vila Leopoldina,93,2,2,2,3800,800,4600,49.462364
9017,Vila Mascote,84,3,1,2,2300,1303,3603,42.892857
9018,Butantã,24,1,1,0,1300,0,1300,54.166668
9019,Paraíso,80,2,1,0,2300,160,2460,30.75
9020,Bela Vista,110,3,2,1,3300,964,4264,38.763638
9021,Vila Guarani,56,2,1,1,2000,600,2600,46.42857
9022,Santa Cecília,140,2,4,1,3200,1670,4870,34.785713
9023,Outro,57,2,1,1,950,0,950,16.666666
9024,Vila Carrão,160,4,4,2,2500,1200,3700,23.125
9025,República,32,1,1,1,1000,785,1785,55.78125
9026,Chácara Santo Antônio,112,3,3,2,5800,840,6640,59.285713
9027,Vila Andrade,68,2,2,2,2420,550,2970,43.67647
9028,Campo Belo,154,3,5,3,10000,1000,11000,71.42857
9029,Campo Belo,90,3,2,2,3000,1200,4200,46.666668
9030,Moema,110,3,2,2,4000,1055,5055,45.954544
9031,Outro,38,1,1,1,1800,320,2120,55.789474
9032,Vila Clementino,274,4,6,4,15000,4200,19200,70.07299
9033,Pinheiros,180,3,5,4,8000,3600,11600,64.44444
9034,Vila Mariana,68,1,1,1,1900,661,2561,37.661766
9035,Santa Cecília,100,2,3,1,2800,922,3722,37.22
9036,Outro,63,2,2,2,4500,890,5390,85.55556
9037,Bela Vista,110,3,3,1,2500,1038,3538,32.163635
9038,Outro,80,2,1,1,1100,395,1495,18.6875
9039,Indianópolis,42,1,2,1,1750,550,2300,54.761906
9040,Campo Belo,161,3,3,3,11000,1500,12500,77.639755
9041,Itaim Bibi,50,1,2,1,2800,856,3656,73.12
9042,Outro,55,2,1,1,2200,450,2650,48.18182
9043,Brooklin,39,1,1,1,2400,500,2900,74.35897
9044,Tatuapé,50,1,1,1,2700,400,3100,62.0
9045,Vila Mariana,80,3,2,1,2600,740,3340,41.75
9046,Vila Nova Conceição,55,2,1,1,3500,1685,5185,94.27273
9047,Itaim Bibi,120,3,2,1,3800,1298,5098,42.483334
9048,Aclimação,39,1,1,1,2260,530,2790,71.53846
9049,Tatuapé,40,1,1,1,2700,794,3494,87.35
9050,Outro,111,3,4,2,7900,1300,9200,82.88288
9051,Perdizes,120,3,1,2,2700,1100,3800,31.666666
9052,Outro,138,4,4,2,6800,805,7605,55.108696
9053,Santo Amaro,45,2,1,0,1600,0,1600,35.555557
9054,Santana,50,1,1,0,1150,180,1330,26.6
9055,Outro,48,2,1,1,1300,300,1600,33.333332
9056,Outro,70,3,2,2,2200,425,2625,37.5
9057,Outro,38,2,1,1,2100,300,2400,63.157894
9058,Pinheiros,72,2,2,2,2300,1420,3720,51.666668
9059,Campo Belo,50,1,1,1,2900,795,3695,73.9
9060,Campo Belo,120,3,4,2,3700,1250,4950,41.25
9061,Vila Guarani,40,1,1,1,1500,460,1960,49.0
9062,Itaim Bibi,224,4,6,4,25000,3064,28064,125.28571
9063,Higienópolis,33,1,1,1,1990,520,2510,76.06061
9064,Outro,70,3,2,1,2000,480,2480,35.42857
9065,Consolação,37,1,1,1,2200,541,2741,74.08108
9066,Outro,250,4,6,4,25000,0,25000,100.0
9067,Outro,49,2,1,1,1400,0,1400,28.571428
9068,Santa Ifigênia,34,1,1,1,2500,523,3023,88.911766
9069,Santo Amaro,210,4,3,4,4000,3800,7800,37.142857
9070,Ipiranga,133,3,4,2,5500,1150,6650,50.0
9071,Jardim Paulista,135,3,4,3,16000,0,16000,118.51852
9072,Vila Mariana,87,3,3,2,3800,1000,4800,55.172413
9073,Itaim Bibi,110,2,3,2,15000,1700,16700,151.81818
9074,Freguesia do Ó,100,3,3,1,1899,860,2759,27.59
9075,Vila Formosa,65,2,2,1,3240,560,3800,58.46154
9076,Vila Mariana,37,1,1,1,1500,514,2014,54.432434
9077,Outro,77,3,2,1,2228,603,2831,36.766235
9078,Outro,55,2,1,1,1700,458,2158,39.236362
9079,Vila Mariana,115,3,3,3,6000,1708,7708,67.026085
9080,Higienópolis,107,3,2,2,4000,1633,5633,52.64486
9081,Jardim América,351,4,4,5,40000,6812,46812,133.36752
9082,Mirandópolis,65,2,1,1,1500,514,2014,30.984615
9083,Pompeia,41,1,1,1,2300,590,2890,70.48781
9084,Vila Leopoldina,57,2,1,1,1900,1080,2980,52.2807
9085,Outro,68,2,1,1,1900,0,1900,27.941177
9086,Brooklin,45,1,1,1,3200,580,3780,84.0
9087,Outro,35,1,1,1,3000,386,3386,96.74286
9088,Itaim Bibi,115,3,3,1,6000,1500,7500,65.21739
9089,Campo Belo,60,2,2,1,3900,743,4643,77.38333
9090,Bela Vista,43,1,1,0,1150,500,1650,38.372093
9091,Outro,93,3,3,2,3100,870,3970,42.68817
9092,Itaim Bibi,190,4,6,3,10900,2100,13000,68.42105
9093,Pinheiros,103,2,2,2,6300,1200,7500,72.81554
9094,Brooklin,45,1,1,1,2000,850,2850,63.333332
9095,Móoca,90,3,3,2,2500,950,3450,38.333332
9096,Chácara Santo Antônio,37,1,1,1,2000,540,2540,68.64865
9097,Vila Leopoldina,83,3,2,2,3300,950,4250,51.20482
9098,Vila Carrão,40,2,1,0,1300,150,1450,36.25
9099,Aclimação,58,2,1,1,1600,490,2090,36.03448
9100,Morumbi,107,2,3,2,2500,1680,4180,39.065422
9101,Santana,40,1,1,0,1100,100,1200,30.0
9102,Jardim Paulista,35,1,1,1,1600,509,2109,60.25714
9103,Vila Mariana,165,3,5,4,8000,1450,9450,57.272728
9104,Vila Clementino,100,3,4,2,5600,1350,6950,69.5
9105,Campo Belo,66,2,1,1,3300,718,4018,60.878788
9106,Saúde,95,3,2,2,4300,681,4981,52.43158
9107,Cambuci,72,2,1,1,2000,668,2668,37.055557
9108,Outro,30,1,1,0,1300,0,1300,43.333332
9109,Centro,65,2,2,1,3500,900,4400,67.69231
9110,Outro,56,2,1,1,1500,515,2015,35.982143
9111,Jardim Marajoara,60,3,1,1,1800,436,2236,37.266666
9112,Pinheiros,102,3,2,2,4476,1491,5967,58.5
9113,Brooklin,70,3,3,1,2200,836,3036,43.37143
9114,Jardim Paulista,65,2,2,2,4000,850,4850,74.61539
9115,Bela Vista,150,2,3,2,18000,2200,20200,134.66667
9116,Saúde,40,1,1,1,1200,1300,2500,62.5
9117,Alto da Lapa,117,3,3,2,2300,1276,3576,30.564102
9118,Jardim Paulista,66,1,1,1,8000,0,8000,121.21212
9119,Santana,65,3,2,2,2200,622,2822,43.415386
9120,Santa Cecília,60,2,1,0,2800,680,3480,58.0
9121,Brooklin,75,2,2,1,2500,849,3349,44.65333
9122,Vila Mariana,80,2,3,1,2500,840,3340,41.75
9123,Vila Mariana,51,2,1,1,1700,623,2323,45.54902
9124,Brooklin,52,2,1,1,3402,949,4351,83.67308
9125,Vila Leopoldina,70,2,2,1,2000,598,2598,37.114285
9126,Pinheiros,44,1,1,1,3500,0,3500,79.545456
9127,Outro,90,3,2,1,1400,440,1840,20.444445
9128,Morumbi,70,2,2,2,3500,850,4350,62.142857
9129,Brooklin,52,2,2,1,2500,843,3343,64.28846
9130,Tatuapé,35,1,1,1,2200,360,2560,73.14286
9131,Outro,55,2,1,1,1200,815,2015,36.636364
9132,Outro,60,2,2,0,1300,0,1300,21.666666
9133,Cambuci,39,1,1,1,2260,530,2790,71.53846
9134,Outro,211,3,6,3,3500,1948,5448,25.819904
9135,Moema,94,3,3,2,4200,1137,5337,56.776596
9136,Jardim Prudência,65,3,1,2,1850,10,1860,28.615385
9137,Itaim Bibi,98,2,3,1,4900,1174,6074,61.97959
9138,Brooklin,60,2,2,2,5500,0,5500,91.666664
9139,Paraíso,66,2,2,1,3500,880,4380,66.36364
9140,Outro,61,3,1,1,1300,650,1950,31.967213
9141,Ipiranga,120,3,1,3,4600,0,4600,38.333332
9142,Jardins,125,3,2,1,7500,1550,9050,72.4
9143,Bela Vista,33,1,1,0,1300,487,1787,54.151516
9144,Outro,50,2,1,1,1200,600,1800,36.0
9145,Pinheiros,63,2,2,1,2400,1060,3460,54.920635
9146,Itaim Bibi,110,2,2,2,12000,0,12000,109.09091
9147,Bela Vista,50,1,1,1,2400,490,2890,57.8
9148,Casa Verde,68,2,1,1,2300,654,2954,43.441177
9149,Higienópolis,113,3,4,1,5000,1995,6995,61.902657
9150,Outro,78,3,1,1,1550,440,1990,25.512821
9151,Alto de Pinheiros,260,4,4,5,12000,3600,15600,60.0
9152,Tatuapé,60,2,2,1,2850,493,3343,55.716667
9153,Jabaquara,40,1,1,1,1200,405,1605,40.125
9154,Outro,55,1,1,1,3500,600,4100,74.545456
9155,Outro,50,2,2,1,1250,250,1500,30.0
9156,Jardim Paulista,42,1,1,1,4000,0,4000,95.2381
9157,Vila Mariana,140,2,2,2,3300,1038,4338,30.985714
9158,Brás,40,1,1,1,1700,400,2100,52.5
9159,Consolação,120,4,3,2,6000,1250,7250,60.416668
9160,Moema,170,3,3,2,14000,2200,16200,95.29412
9161,Vila Mariana,36,1,1,1,2799,620,3419,94.97222
9162,Cambuci,30,1,1,0,1200,300,1500,50.0
9163,Jardim Paulista,65,2,2,1,2800,756,3556,54.70769
9164,Alto de Pinheiros,210,3,5,3,18151,4112,22263,106.01428
9165,Vila Mascote,90,2,2,2,2000,836,2836,31.51111
9166,Moema,45,1,1,1,1800,700,2500,55.555557
9167,Butantã,56,2,1,0,1490,405,1895,33.839287
9168,Vila Mascote,37,1,1,0,1850,150,2000,54.054054
9169,Outro,51,1,1,1,3500,584,4084,80.07843
9170,Butantã,60,2,1,1,2150,523,2673,44.55
9171,Vila Romana,98,3,4,2,3900,750,4650,47.44898
9172,Aclimação,42,1,1,1,1900,580,2480,59.04762
9173,Campo Belo,60,2,1,1,2500,990,3490,58.166668
9174,Alto Da Boa Vista,70,2,2,2,4500,853,5353,76.47143
9175,Higienópolis,200,3,3,2,4300,1627,5927,29.635
9176,Itaim Bibi,86,2,1,1,3500,790,4290,49.88372
9177,Outro,65,2,2,1,3000,691,3691,56.784615
9178,Consolação,35,1,1,1,3500,360,3860,110.28571
9179,Paraíso,60,2,2,1,4200,1350,5550,92.5
9180,Vila Olímpia,65,1,2,2,6000,970,6970,107.23077
9181,Água Branca,128,4,4,2,5500,1050,6550,51.171875
9182,Perdizes,68,2,3,2,3000,1180,4180,61.47059
9183,Higienópolis,60,2,2,1,5000,725,5725,95.416664
9184,Indianópolis,97,2,2,1,1900,1147,3047,31.41237
9185,Jabaquara,35,1,1,1,1300,390,1690,48.285713
9186,Santa Cecília,82,3,3,1,3000,990,3990,48.658535
9187,Vila Leopoldina,96,2,3,2,4700,1500,6200,64.583336
9188,Tatuapé,69,2,2,1,2200,450,2650,38.405796
9189,Perdizes,140,2,4,3,8100,1700,9800,70.0
9190,Tatuapé,40,1,1,1,1600,679,2279,56.975
9191,Outro,44,1,1,1,1600,536,2136,48.545456
9192,Cambuci,55,2,1,1,1200,300,1500,27.272728
9193,Perdizes,36,1,1,1,2150,463,2613,72.583336
9194,Vila Mariana,75,2,2,1,1950,500,2450,32.666668
9195,Outro,50,2,1,1,1200,0,1200,24.0
9196,Vila Prudente,75,3,2,1,1600,710,2310,30.8
9197,Vila Nova Conceição,60,2,1,1,2800,1401,4201,70.01667
9198,Indianópolis,31,1,1,0,3000,580,3580,115.48387
9199,Perdizes,64,2,2,1,2700,790,3490,54.53125
9200,Moema,134,2,3,2,15000,2145,17145,127.94776
9201,Outro,38,1,1,0,900,0,900,23.68421
9202,Móoca,330,4,7,6,7950,3390,11340,34.363636
9203,Vila Madalena,172,3,5,3,6400,2800,9200,53.488373
9204,Outro,50,2,1,0,1200,90,1290,25.8
9205,Bom Retiro,90,2,2,0,1600,300,1900,21.11111
9206,Sumaré,218,3,4,4,10800,3567,14367,65.90367
9207,Pinheiros,59,1,1,1,4100,800,4900,83.05085
9208,Chácara Santo Antônio,147,2,5,2,12000,1100,13100,89.11565
9209,Santa Cecília,33,1,1,1,2000,530,2530,76.666664
9210,Santa Cecília,160,3,3,4,7500,1700,9200,57.5
9211,Brooklin,49,1,2,1,3000,580,3580,73.061226
9212,Itaim Bibi,50,1,1,1,2700,755,3455,69.1
9213,Consolação,52,1,1,0,2000,562,2562,49.26923
9214,Outro,55,2,1,0,1600,430,2030,36.909092
9215,Vila Buarque,30,1,1,0,1100,470,1570,52.333332
9216,Ipiranga,55,2,1,0,1500,487,1987,36.127274
9217,Vila Olímpia,156,3,4,4,14000,1600,15600,100.0
9218,Moema,190,4,5,4,12000,2850,14850,78.1579
9219,Jardim Paulista,100,2,2,1,2850,1177,4027,40.27
9220,Vila Nova Conceição,57,1,1,0,1900,500,2400,42.105263
9221,Móoca,100,3,4,2,4500,510,5010,50.1
9222,Liberdade,50,2,1,0,1300,581,1881,37.62
9223,Jardim Paulista,106,3,2,2,7000,1934,8934,84.28302
9224,Vila Leopoldina,48,1,1,1,1950,454,2404,50.083332
9225,Outro,18,1,1,1,1000,150,1150,63.88889
9226,Vila Nova Conceição,105,2,2,1,6600,1480,8080,76.95238
9227,Vila Olímpia,100,3,2,2,3150,973,4123,41.23
9228,Vila Nova Conceição,126,3,5,2,7350,2228,9578,76.01588
9229,Pinheiros,100,2,2,1,2300,778,3078,30.78
9230,Chácara Santo Antônio,38,1,1,1,2300,482,2782,73.210526
9231,Butantã,50,2,1,1,2500,307,2807,56.14
9232,Moema,77,3,2,1,3800,975,4775,62.012985
9233,Vila Nova Conceição,386,4,5,4,37000,6850,43850,113.601036
9234,Bela Vista,32,1,1,1,1000,440,1440,45.0
9235,Vila Nova Conceição,234,3,5,4,36000,3000,39000,166.66667
9236,Outro,62,2,2,1,2400,500,2900,46.774193
9237,Pirituba,44,2,1,1,1650,300,1950,44.31818
9238,Tatuapé,64,3,1,1,1500,670,2170,33.90625
9239,Vila Mariana,85,2,2,1,3150,790,3940,46.35294
9240,Outro,60,2,2,1,2700,0,2700,45.0
9241,Vila Mariana,50,1,1,1,1100,954,2054,41.08
9242,Bela Vista,35,1,1,1,2400,1,2401,68.6
9243,Aclimação,39,1,1,1,2260,530,2790,71.53846
9244,Vila Olímpia,60,2,1,1,2400,871,3271,54.516666
9245,Aclimação,45,1,1,1,1700,610,2310,51.333332
9246,Jardim Anália Franco,164,3,5,4,10000,1443,11443,69.77439
9247,Cerqueira César,41,1,1,0,1390,384,1774,43.26829
9248,Outro,45,2,1,0,1500,0,1500,33.333332
9249,Outro,45,1,1,0,1400,216,1616,35.91111
9250,Vila Mariana,45,1,1,1,3120,830,3950,87.77778
9251,Saúde,60,2,2,1,2500,720,3220,53.666668
9252,Ipiranga,68,2,1,1,2600,622,3222,47.382355
9253,Vila Olímpia,78,2,2,1,9999,864,10863,139.26923
9254,Jardim Paulista,150,3,2,1,4500,1718,6218,41.453335
9255,República,24,1,1,0,1150,270,1420,59.166668
9256,Outro,62,3,1,1,1350,450,1800,29.032259
9257,Tatuapé,242,4,5,4,16000,1450,17450,72.10744
9258,Outro,45,1,1,0,1100,250,1350,30.0
9259,Brás,82,2,1,0,1500,340,1840,22.439024
9260,Outro,55,2,2,2,2500,799,3299,59.98182
9261,Brooklin,55,1,1,2,3100,970,4070,74.0
9262,Vila Buarque,50,1,1,0,1300,575,1875,37.5
9263,Cidade Monções,75,2,2,2,6800,1200,8000,106.666664
9264,Chácara Santo Antônio,186,3,4,3,8500,2530,11030,59.301075
9265,Outro,56,2,2,1,1950,590,2540,45.357143
9266,Jabaquara,33,1,1,0,1180,0,1180,35.757576
9267,Jardim Paulista,87,2,3,1,9500,1600,11100,127.586205
9268,Outro,54,2,1,1,1200,460,1660,30.74074
9269,Água Branca,105,3,3,1,2300,960,3260,31.047619
9270,Santa Cecília,28,1,1,1,1200,491,1691,60.392857
9271,Barra Funda,45,1,1,1,2300,550,2850,63.333332
9272,Brooklin,132,3,5,3,11500,1220,12720,96.36364
9273,Jaguaré,17,1,1,0,790,0,790,46.47059
9274,Vila Santa Catarina,55,2,1,1,1000,623,1623,29.50909
9275,Móoca,50,2,1,0,1300,500,1800,36.0
9276,Itaim Bibi,146,3,5,2,15000,1707,16707,114.4315
9277,Campo Belo,35,1,1,1,1800,570,2370,67.71429
9278,Bela Vista,35,1,1,1,1050,715,1765,50.42857
9279,Outro,70,2,2,1,2300,600,2900,41.42857
9280,Móoca,60,2,2,1,2000,120,2120,35.333332
9281,Brooklin,20,1,1,0,2450,0,2450,122.5
9282,Brooklin,60,2,1,1,2500,962,3462,57.7
9283,Morumbi,361,4,4,4,8000,2115,10115,28.01939
9284,Campo Belo,37,1,1,1,2050,560,2610,70.54054
9285,Vila Madalena,57,1,1,1,4450,1084,5534,97.08772
9286,Outro,50,2,2,1,850,600,1450,29.0
9287,Brooklin,57,1,2,1,3500,1128,4628,81.192986
9288,Vila Mascote,48,1,1,1,920,516,1436,29.916666
9289,Bela Vista,54,2,1,1,3400,936,4336,80.296295
9290,Liberdade,45,1,1,0,1000,300,1300,28.88889
9291,Vila Mascote,53,1,2,1,2800,400,3200,60.377357
9292,Higienópolis,44,1,1,1,2200,1000,3200,72.72727
9293,Vila Andrade,48,2,1,1,1700,390,2090,43.541668
9294,Bela Vista,78,2,2,2,5000,550,5550,71.15385
9295,Campo Belo,51,1,1,1,3200,590,3790,74.31373
9296,Outro,55,1,1,0,1800,279,2079,37.8
9297,Tatuapé,123,3,2,2,2541,771,3312,26.926828
